R,k,m,I,final_com_velocity,end_time,motor_angle,bottom_height
8.000000000000000167e-03,3.885425382035175426e+04,2.560000000000000426e-04,9.502720000000000868e-09,7.600013797468732513e+00,3.578984567914275661e-02,2.038937518979769337e+01,9.249999999999998501e-02
8.000000000000000167e-03,4.208345911934581090e+04,2.560000000000000426e-04,9.502720000000000868e-09,7.580182331773059445e+00,3.555082023225369925e-02,2.022215945706709306e+01,9.249999999999998501e-02
8.000000000000000167e-03,4.558104601977957645e+04,2.560000000000000426e-04,9.502720000000000868e-09,7.552629201796146496e+00,3.533035137974788881e-02,2.007786260273502421e+01,9.249999999999997113e-02
8.000000000000000167e-03,4.936931991177907184e+04,2.560000000000000426e-04,9.502720000000000868e-09,7.516336100833777678e+00,3.512798337064069326e-02,1.995524524021033841e+01,9.249999999999998501e-02
8.000000000000000167e-03,5.347244000266970397e+04,2.560000000000000426e-04,9.502720000000000868e-09,7.477194716015067577e+00,3.494326393031831068e-02,1.985333352313037381e+01,9.249999999999997113e-02
8.000000000000000167e-03,5.791657338907157828e+04,2.560000000000000426e-04,9.502720000000000868e-09,7.436502018844660000e+00,3.477598013249238312e-02,1.977191245777237683e+01,9.250000000000001277e-02
8.000000000000000167e-03,6.273006193404024089e+04,2.560000000000000426e-04,9.502720000000000868e-09,7.390916218970819074e+00,3.462566340924376485e-02,1.970962696371662659e+01,9.249999999999995726e-02
8.000000000000000167e-03,6.794360301348615030e+04,2.560000000000000426e-04,9.502720000000000868e-09,7.347129689892061499e+00,3.449158150839185671e-02,1.966459967013783228e+01,9.249999999999999889e-02
8.000000000000000167e-03,7.359044528456265107e+04,2.560000000000000426e-04,9.502720000000000868e-09,7.307778194848624231e+00,3.437310121309725824e-02,1.963540562835570569e+01,9.250000000000001277e-02
8.000000000000000167e-03,7.970660072450475127e+04,2.560000000000000426e-04,9.502720000000000868e-09,7.270006329661435451e+00,3.426949200798606876e-02,1.961913416399556809e+01,9.249999999999997113e-02
8.000000000000000167e-03,8.633107429217250319e+04,2.560000000000000426e-04,9.502720000000000868e-09,7.237371594679581577e+00,3.417974097211590179e-02,1.961219506806127200e+01,9.249999999999999889e-02
8.000000000000000167e-03,9.350611267692994443e+04,2.560000000000000426e-04,9.502720000000000868e-09,7.215525148536318767e+00,3.410246101048031164e-02,1.961044988763798713e+01,9.249999999999997113e-02
8.000000000000000167e-03,1.012774737212259060e+05,2.560000000000000426e-04,9.502720000000000868e-09,7.204827958772289875e+00,3.403569013745936372e-02,1.961110147891790945e+01,9.250000000000001277e-02
8.000000000000000167e-03,1.096947182350816292e+05,2.560000000000000426e-04,9.502720000000000868e-09,7.204193030293754241e+00,3.397668191134226023e-02,1.960915171761946141e+01,9.250000000000144218e-02
8.000000000000000167e-03,1.188115260634906881e+05,2.560000000000000426e-04,9.502720000000000868e-09,7.224021208428169416e+00,3.392328196824693359e-02,1.960088311779876236e+01,9.249999999999999889e-02
8.000000000000000167e-03,1.286860384224136797e+05,2.560000000000000426e-04,9.502720000000000868e-09,7.255662261632069843e+00,3.387337681118442190e-02,1.958244873483308623e+01,9.249999999999998501e-02
8.000000000000000167e-03,1.393812286865626520e+05,2.560000000000000426e-04,9.502720000000000868e-09,7.301599287871332500e+00,3.382471688369578094e-02,1.955024635741822792e+01,9.249999999999997113e-02
8.000000000000000167e-03,1.509653039936322020e+05,2.560000000000000426e-04,9.502720000000000868e-09,7.353622490787675048e+00,3.377570977551996173e-02,1.950295019972917387e+01,9.250000000000041522e-02
8.000000000000000167e-03,1.635121402261458861e+05,2.560000000000000426e-04,9.502720000000000868e-09,7.409289209464807513e+00,3.372526522192485082e-02,1.944127518329225168e+01,9.249999999999995726e-02
8.000000000000000167e-03,1.771017531449649832e+05,2.560000000000000426e-04,9.502720000000000868e-09,7.456765752144236536e+00,3.367309845914236849e-02,1.936829076569621222e+01,9.250000000000001277e-02
8.000000000000000167e-03,1.918208086790413945e+05,2.560000000000000426e-04,9.502720000000000868e-09,7.490838456370285670e+00,3.361942498540540503e-02,1.928878994400239932e+01,9.249999999999998501e-02
8.000000000000000167e-03,2.077631756257259403e+05,2.560000000000000426e-04,9.502720000000000868e-09,7.505076873294737716e+00,3.356527119622070010e-02,1.920930647647382727e+01,9.249999999999997113e-02
8.000000000000000167e-03,2.250305242864021857e+05,2.560000000000000426e-04,9.502720000000000868e-09,7.497844549404903525e+00,3.351224237322610044e-02,1.913602036156777686e+01,9.249999999999827804e-02
8.000000000000000167e-03,2.437329748551585071e+05,2.560000000000000426e-04,9.502720000000000868e-09,7.468144608602422352e+00,3.346216130203074485e-02,1.907510727399266770e+01,9.249999999999997113e-02
8.000000000000000167e-03,2.639897996955213021e+05,2.560000000000000426e-04,9.502720000000000868e-09,7.425410973194187747e+00,3.341685691495611954e-02,1.903061743925269766e+01,9.249999999999997113e-02
8.000000000000000167e-03,2.859301839839105378e+05,2.560000000000000426e-04,9.502720000000000868e-09,7.374994619499330106e+00,3.337777960439374664e-02,1.900414667867376650e+01,9.250000000000010991e-02
8.000000000000000167e-03,3.096940495707346709e+05,2.560000000000000426e-04,9.502720000000000868e-09,7.327270516612618856e+00,3.334544897471725805e-02,1.899456522114448376e+01,9.250000000000094258e-02
8.000000000000000167e-03,3.354329473131714622e+05,2.560000000000000426e-04,9.502720000000000868e-09,7.296558512099491800e+00,3.331967139357536883e-02,1.899831692701560115e+01,9.249999999999997113e-02
8.000000000000000167e-03,3.633110235703847138e+05,2.560000000000000426e-04,9.502720000000000868e-09,7.288342151597754004e+00,3.329960996316893435e-02,1.901013664065773767e+01,9.249999999999951317e-02
8.000000000000000167e-03,3.935060670248524402e+05,2.560000000000000426e-04,9.502720000000000868e-09,7.304343145734609521e+00,3.328371481904359580e-02,1.902346254440656992e+01,9.250000000000056788e-02
8.000000000000000167e-03,4.262106425057829474e+05,2.560000000000000426e-04,9.502720000000000868e-09,7.344237750415082644e+00,3.327033486038407512e-02,1.903221569267441282e+01,9.250000000000073441e-02
8.000000000000000167e-03,4.616333190454205032e+05,2.560000000000000426e-04,9.502720000000000868e-09,7.397303804345476408e+00,3.325786084410241317e-02,1.903115829278511484e+01,9.249999999999929112e-02
8.000000000000000167e-03,5.000000000000000000e+05,2.560000000000000426e-04,9.502720000000000868e-09,7.447631556645705864e+00,3.324496639270113629e-02,1.901690174448345516e+01,9.250000000000001277e-02
8.999999999999999320e-03,1.000000000000000000e+04,3.239999999999999608e-04,1.522151999999999481e-08,6.546511279112173121e+00,4.149082630753880840e-02,2.341513138263290728e+01,9.249999999999999889e-02
8.999999999999999320e-03,1.083110727436042180e+04,3.239999999999999608e-04,1.522151999999999481e-08,6.643240659459511477e+00,4.092580398119935459e-02,2.285446440134013812e+01,9.249999999999999889e-02
8.999999999999999320e-03,1.173128847887029951e+04,3.239999999999999608e-04,1.522151999999999481e-08,6.735419388354259240e+00,4.038263316649371576e-02,2.232570832574578645e+01,9.250000000000122014e-02
8.999999999999999320e-03,1.270628439811126918e+04,3.239999999999999608e-04,1.522151999999999481e-08,6.821833386538755484e+00,3.986098210028954369e-02,2.182781754517319683e+01,9.249999999999999889e-02
8.999999999999999320e-03,1.376231293744750110e+04,3.239999999999999608e-04,1.522151999999999481e-08,6.901295778943314474e+00,3.936050600874816535e-02,2.135955974434440918e+01,9.249999999999998501e-02
8.999999999999999320e-03,1.490610877688121582e+04,3.239999999999999608e-04,1.522151999999999481e-08,6.973073692483908737e+00,3.888081321643670207e-02,2.091961714281600138e+01,9.249999999999997113e-02
8.999999999999999320e-03,1.614496632056855196e+04,3.239999999999999608e-04,1.522151999999999481e-08,7.037213845281030444e+00,3.842151754200965469e-02,2.050680840340265476e+01,9.249999999999998501e-02
8.999999999999999320e-03,1.748678621590140392e+04,3.239999999999999608e-04,1.522151999999999481e-08,7.094572662684893061e+00,3.798225327529639733e-02,2.012039495977544945e+01,9.249999999999998501e-02
8.999999999999999320e-03,1.894012573882348443e+04,3.239999999999999608e-04,1.522151999999999481e-08,7.146232150677026773e+00,3.756278546545145647e-02,1.975999886581952580e+01,9.249999999999997113e-02
8.999999999999999320e-03,2.051425336670720935e+04,3.239999999999999608e-04,1.522151999999999481e-08,7.192534371959777850e+00,3.716298400608085417e-02,1.942566458009189390e+01,9.250000000000001277e-02
8.999999999999999320e-03,2.221920788682152124e+04,3.239999999999999608e-04,1.522151999999999481e-08,7.232278729941715945e+00,3.678281997785442375e-02,1.911737586876756723e+01,9.249999999999995726e-02
8.999999999999999320e-03,2.406586241734785290e+04,3.239999999999999608e-04,1.522151999999999481e-08,7.263244264420603002e+00,3.642228477026382416e-02,1.883472929474008950e+01,9.249999999999998501e-02
8.999999999999999320e-03,2.606599374922933930e+04,3.239999999999999608e-04,1.522151999999999481e-08,7.283863560028239093e+00,3.608132679044538660e-02,1.857687636431410994e+01,9.250000000000001277e-02
8.999999999999999320e-03,2.823235745107105686e+04,3.239999999999999608e-04,1.522151999999999481e-08,7.294447162367274196e+00,3.575985304628109124e-02,1.834291952963237904e+01,9.249999999999998501e-02
8.999999999999999320e-03,3.057876921606393807e+04,3.239999999999999608e-04,1.522151999999999481e-08,7.296455982974781485e+00,3.545775565667730334e-02,1.813233243134235906e+01,9.249999999999999889e-02
8.999999999999999320e-03,3.312019296970979485e+04,3.239999999999999608e-04,1.522151999999999481e-08,7.290422959306284589e+00,3.517491188410151737e-02,1.794486659968070086e+01,9.250000000000001277e-02
8.999999999999999320e-03,3.587283630024446029e+04,3.239999999999999608e-04,1.522151999999999481e-08,7.275698196697240050e+00,3.491114624406782552e-02,1.778008445556581663e+01,9.249999999999999889e-02
8.999999999999999320e-03,3.885425382035175426e+04,3.239999999999999608e-04,1.522151999999999481e-08,7.252817309182129968e+00,3.466618112152348302e-02,1.763719779589662906e+01,9.249999999999998501e-02
8.999999999999999320e-03,4.208345911934581090e+04,3.239999999999999608e-04,1.522151999999999481e-08,7.224465055940108016e+00,3.443970865869128151e-02,1.751569388216686107e+01,9.249999999999999889e-02
8.999999999999999320e-03,4.558104601977957645e+04,3.239999999999999608e-04,1.522151999999999481e-08,7.192465859086744295e+00,3.423142163676259897e-02,1.741572243074174864e+01,9.249999999999999889e-02
8.999999999999999320e-03,4.936931991177907184e+04,3.239999999999999608e-04,1.522151999999999481e-08,7.153977231248575208e+00,3.404092830947540171e-02,1.733675873240170873e+01,9.249999999999998501e-02
8.999999999999999320e-03,5.347244000266970397e+04,3.239999999999999608e-04,1.522151999999999481e-08,7.108057711466474693e+00,3.386775292794964864e-02,1.727691068125981744e+01,9.249999999999999889e-02
8.999999999999999320e-03,5.791657338907157828e+04,3.239999999999999608e-04,1.522151999999999481e-08,7.061397529606270318e+00,3.371155582644859428e-02,1.723512584200678077e+01,9.249999999999998501e-02
8.999999999999999320e-03,6.273006193404024089e+04,3.239999999999999608e-04,1.522151999999999481e-08,7.016481238085298777e+00,3.357193946263056783e-02,1.721158255077541099e+01,9.249999999999999889e-02
8.999999999999999320e-03,6.794360301348615030e+04,3.239999999999999608e-04,1.522151999999999481e-08,6.968821683348520146e+00,3.344803914360761771e-02,1.720430198088020646e+01,9.249999999999997113e-02
8.999999999999999320e-03,7.359044528456265107e+04,3.239999999999999608e-04,1.522151999999999481e-08,6.924040393906384594e+00,3.333850538708891392e-02,1.720957023232959315e+01,9.249999999999999889e-02
8.999999999999999320e-03,7.970660072450475127e+04,3.239999999999999608e-04,1.522151999999999481e-08,6.891685999838978560e+00,3.324204818103514841e-02,1.722565633742272695e+01,9.249999999999929112e-02
8.999999999999999320e-03,8.633107429217250319e+04,3.239999999999999608e-04,1.522151999999999481e-08,6.867608154278553201e+00,3.315742481832144317e-02,1.725005576392468498e+01,9.250000000000001277e-02
